Squadra,Palestra,Luogo,Giorno partita,Orario Entrata,Link maps,Note
#Dragons Lugano,Liceo Lugano 2,Savosa,Martedì,20:25,https://goo.gl/maps/GU3jNGipAG6i9cRu8, 
Ciuchini Arbedo Castione,Centro sportivo alle Gerre ,Gorduno,Mercoledì,20:15,https://goo.gl/maps/owaCgjs5Bh9davn46, 
Foxes,Scuola Elementare Fano,Pazzallo,Giovedi,19:50,https://goo.gl/maps/cVyHctPNw25TFoyR6,Per arrivare in palestra passare da Via Minudra e poi Via al Gaggio
Malpa,Scuole Elementari,Breganzona,Giovedì,20:00,https://goo.gl/maps/Zsn49zvGWKANuAbP7, 
SAGex,Scuola Elementare Burio,Gordola,Venerdì,19:40,https://goo.gl/maps/h2Bv19cfdpUYj6199,Lasciare le scarpe all'entrata.
SFG Chiasso Dream,Liceo Cantonale,Mendrisio ,Giovedì,21:00,https://goo.gl/maps/VVUg28iPbXxD1pEX6, 
SFG Lugano,CPC Lugano/Massagno,"Via Gerso 1A, 6900 Lugano",Mercoledì,20:00,https://goo.gl/maps/8skA34EZFHrPjJKf9, 
SFG Manno Evolution,Scuole Elementari,Manno,Lunedí,20:30,https://goo.gl/maps/P11Z4y4XKMGDCDXg6, 
SFG Monte Carasso,Centro Sportivo Alle Gerre,Gorduno,Venerdi,20:15,https://goo.gl/maps/owaCgjs5Bh9davn46, 
SFG Stabio,Scuole Medie,Stabio,Martedì,20:00,https://goo.gl/maps/cTwo5NFpxiv938Th8,Sostituto responsabile 2: Maura spadini (079 711 90 47)
Skål Team,Scuole Medie,Losone,Lunedì,20:15,https://goo.gl/maps/Cq28TnhA8rYk13yt7,Link mappa posizione palestra: https://www.skalteam.ch/contatti
Tartarughe,SPAI - Palestra Peschiera,Locarno,Giovedì,20:00,https://goo.gl/maps/6XgYx4E8dgzo175S8, 
Volley Capriasca 1,Scuole Medie,Tesserete,Martedi,20:15,https://goo.gl/maps/hEEJrgDugTghFLB5A,Dati da confermare.
Volley Caslano A,Scuole Medie,"Via Industria 27, Caslano",Venerdi,20:00,https://goo.gl/maps/QWcPHFA6CoY9avzq5, 
Yellov,Scuole Elementari,Lamone,Lunedi,20:00,https://goo.gl/maps/Mk6rBGGrudYks8At9,
